"地標類型","地標名稱","地址","電話","網址","TWD97_X","TWD97_Y","更新日期","行政區"
"火車站","四腳亭站","新北市瑞芳區吉慶里9鄰中央路65號","02-24579346","","326849.16000000","2777364.53000000","2023-11-27 17:12:02.65","瑞芳區"
"火車站","平溪站","新北市平溪區嶺腳里9鄰中華街12號","","","324680.21000000","2768830.46000000","2023-11-27 17:12:02.65","平溪區"
"火車站","汐止站","新北市汐止區信望里4鄰信義路1號","02-26415096","","316792.34000000","2773534.00000000","2023-11-27 17:12:03.04","汐止區"
"火車站","汐科站","新北市汐止區大同里23鄰大同路二段182號","02-23815226#8730","","315242.99000000","2772863.22000000","2023-11-27 17:12:03.04","汐止區"
"火車站","牡丹站","新北市雙溪區牡丹里16鄰牡丹路159號","","","335954.12000000","2772541.48000000","2023-11-27 17:12:03.04","雙溪區"
"火車站","板橋站","新北市板橋區挹秀里13鄰文化路一段54號(縣民大道二段7號)","02-89691036","","296818.72000000","2767394.86000000","2023-11-27 17:12:03.04","板橋區"
"火車站","南樹林站","新北市樹林區東山里12鄰中山路二段230號","0800-765888","","291219.93000000","2763650.18000000","2023-11-27 17:12:03.04","樹林區"
"火車站","浮洲站","新北市板橋區僑中里","","","294840.47000000","2766320.35000000","2023-11-27 17:12:03.04","板橋區"
"火車站","貢寮站","新北市貢寮區貢寮里7鄰朝陽街33號","02-24941500","","341708.11000000","2768502.35000000","2023-11-27 17:12:03.04","貢寮區"
"火車站","望古站","新北市平溪區望古里","","","327040.17000000","2769811.45000000","2023-11-27 17:12:03.04","平溪區"
"火車站","猴硐站","新北市瑞芳區光復里2鄰柴寮路70號","02-24977747","","333437.53000000","2775686.17000000","2023-11-27 17:12:03.04","瑞芳區"
"火車站","菁桐站","新北市平溪區菁桐里菁桐街52號","","","323052.40000000","2768629.84000000","2023-11-27 17:12:03.04","平溪區"
"火車站","瑞芳站","新北市瑞芳區龍潭里1鄰明燈路三段82號","02-24972033","","331295.67000000","2778098.20000000","2023-11-27 17:12:03.04","瑞芳區"
"火車站","福隆站","新北市貢寮區福隆里11鄰福隆街2號","02-24991800","","345333.49000000","2767850.78000000","2023-11-27 17:12:03.04","貢寮區"
"火車站","樹林站","新北市樹林區樹北里16鄰鎮前街112號","02-26812052","","292845.02000000","2764890.32000000","2023-11-27 17:12:03.04","樹林區"
"火車站","嶺腳站","新北市平溪區嶺腳里嶺腳街22號","","","325505.28000000","2769307.00000000","2023-11-27 17:12:03.04","平溪區"
"火車站","雙溪站","新北市雙溪區新基里4鄰朝陽街1號","02-24932980","","337481.22000000","2770324.99000000","2023-11-27 17:12:03.04","雙溪區"
"火車站","鶯歌站","新北市鶯歌區東鶯里4鄰文化路68號","02-26792004","","285897.29000000","2760809.72000000","2023-11-27 17:12:03.04","鶯歌區"
"地政事務所","新北市三重地政事務所","新北市三重區過田里4鄰新北大道一段11號8~9樓","02-29886336","","299271.11000000","2772619.73000000","2023-11-27 17:12:03.04","三重區"
"地政事務所","新北市中和地政事務所","新北市中和區復興里30鄰復興路280號","02-22470101","","300723.48000000","2764822.47000000","2023-11-27 17:12:03.04","中和區"
"地政事務所","新北市汐止地政事務所","新北市汐止區秀峰里1鄰新台五路一段262號","02-26421621","","316422.67000000","2772994.16000000","2023-11-27 17:12:03.04","汐止區"
"地政事務所","新北市板橋地政事務所","新北市板橋區深丘里5鄰實踐路1號","02-29611126","","296786.47000000","2766810.04000000","2023-11-27 17:12:03.04","板橋區"
"地政事務所","新北市政府地政局","新北市板橋區福丘里13鄰中山路一段161號23~24樓","02-29603456","","296949.76000000","2767180.51000000","2023-11-27 17:12:03.04","板橋區"
"地政事務所","新北市淡水地政事務所","新北市淡水區崁頂里2鄰中山北路二段375號5、6樓","02-26219645","","294721.66000000","2786576.26000000","2023-11-27 17:12:03.04","淡水區"
"地政事務所","新北市新店地政事務所","新北市新店區五[峰]里1鄰北新路一段86號13~14樓","02-29172969","","304720.15000000","2762271.31000000","2023-11-27 17:12:03.04","新店區"
"地政事務所","新北市新莊地政事務所","新北市新莊區榮和里12鄰中華路一段3號","02-22779245","","295598.20000000","2769927.32000000","2023-11-27 17:12:03.04","新莊區"
"地政事務所","新北市瑞芳地政事務所","新北市瑞芳區龍興里7鄰明燈路三段32號","02-24974106","","331487.68000000","2777971.51000000","2023-11-27 17:12:03.04","瑞芳區"
"地政事務所","新北市樹林地政事務所","新北市樹林區中山里16鄰地政街12號","02-26808001","","289850.68000000","2762687.08000000","2023-11-27 17:12:03.04","樹林區"
"地區醫院","三重中興醫院","新北市三重區中興里5鄰中興北街21號","02-29959680","","297388.79000000","2771012.76000000","2023-11-27 17:12:03.04","三重區"
"地區醫院","大順醫院","新北市新莊區興漢里7鄰中正路215號","02-29911726","","295526.91000000","2769809.52000000","2023-11-27 17:12:03.04","新莊區"
"地區醫院","中英醫療社團法人中英醫院","新北市板橋區百壽里1鄰文化路一段196號","02-22563584","","297062.31000000","2768066.85000000","2023-11-27 17:12:03.04","板橋區"
"地區醫院","中英醫療社團法人板英醫院","新北市板橋區公[館]里1鄰文化路一段267號","02-82513923","","296881.22000000","2767892.54000000","2023-11-27 17:12:03.04","板橋區"
"地區醫院","中祥醫院","新北市中和區佳和里1鄰中山路二段140號","02-22405055","","300669.78000000","2766223.58000000","2023-11-27 17:12:03.04","中和區"
"地區醫院","仁安醫院","新北市土城區貨饒里1鄰中央路一段62號","02-22627088","","295160.59000000","2764698.50000000","2023-11-27 17:12:03.04","土城區"
"地區醫院","仁愛醫院","新北市樹林區樹南里1鄰文化街9號","02-26834567","","292399.41000000","2764414.18000000","2023-11-27 17:12:03.04","樹林區"
"地區醫院","元復醫院","新北市土城區員仁里7鄰中央路二段318~324號","02-22661886","","294452.30000000","2762850.98000000","2023-11-27 17:12:03.04","土城區"
"地區醫院","公祥醫院","新北市淡水區長庚里11鄰中山路38號","02-26217638","","294785.36000000","2784677.57000000","2023-11-27 17:12:03.04","淡水區"
"地區醫院","公祥醫院病房部","新北市淡水區長庚里29鄰英專路21巷25號1樓","02-26217638","","294825.40000000","2784656.14000000","2023-11-27 17:12:03.04","淡水區"
"地區醫院","天主教耕莘醫療財團法人永和耕莘醫院","新北市永和區永興里25鄰中興街80號","02-29251302","","302256.14000000","2767185.36000000","2023-11-27 17:12:03.04","永和區"
"地區醫院","天主教耕莘醫療財團法人永和耕莘醫院急診住院大樓","新北市永和區永興里22鄰國光路123號","","","302240.27000000","2767120.75000000","2023-11-27 17:12:03.04","永和區"
"地區醫院","天主教耕莘醫療財團法人耕莘醫院安康院區","新北市新店區德安里19鄰車子路15號","","","300948.65000000","2760773.23000000","2023-11-27 17:12:03.04","新店區"
"地區醫院","北新醫療社團法人北新醫院","新北市淡水區忠寮里7鄰演戲埔腳1-2號","02-26209199","","297923.88000000","2787306.29000000","2023-11-27 17:12:03.04","淡水區"
"地區醫院","永和復康醫院","新北市永和區安和里6鄰中和路575號","02-29240925","","301672.52000000","2766301.84000000","2023-11-27 17:12:03.04","永和區"
"地區醫院","永聖醫療社團法人文化醫院","新北市三峽區礁溪里10鄰介壽路一段199號","02-26732885","","288209.62000000","2758159.57000000","2023-11-27 17:12:03.04","三峽區"
"地區醫院","全民醫院","新北市蘆洲區恆德里17鄰三民路7號","02-22821575","","297986.87000000","2774949.16000000","2023-11-27 17:12:03.04","蘆洲區"
"地區醫院","同仁醫院","新北市新店區江陵里1鄰民權路89號","02-29170201","","304290.72000000","2763971.81000000","2023-11-27 17:12:03.04","新店區"
"地區醫院","名恩療養院","新北市鶯歌區鳳福里25鄰鶯桃路二段62號","02-26701092","","282800.93000000","2762858.56000000","2023-11-27 17:12:03.04","鶯歌區"
"地區醫院","宏仁醫院","新北市三重區長安里20鄰三和路二段186號","02-29784022","","300310.14000000","2773506.09000000","2023-11-27 17:12:03.04","三重區"
"地區醫院","宏慈療養院","新北市新店區雙城里29鄰安泰路157號","02-22151177","","299311.45000000","2759061.70000000","2023-11-27 17:12:03.04","新店區"
"地區醫院","怡和醫院","新北市中和區廟美里31鄰連城路49號","02-22450009","","300324.39000000","2766069.68000000","2023-11-27 17:12:03.04","中和區"
"地區醫院","怡濟慈園醫療社團法人宏濟神經精神科醫院","新北市新店區公崙里22鄰安忠路57巷5號","02-22118899","","301911.45000000","2761318.22000000","2023-11-27 17:12:03.04","新店區"
"地區醫院","板新醫院","新北市板橋區社後里6鄰中正路189號","02-29609955","","296065.64000000","2767723.08000000","2023-11-27 17:12:03.04","板橋區"
"地區醫院","板橋中興醫院","新北市板橋區福星里19鄰忠孝路15號","02-29590707","","296458.86000000","2766084.45000000","2023-11-27 17:12:03.04","板橋區"
"地區醫院","板橋國泰醫院","新北市板橋區福星里19鄰忠孝路5號","02-29583333","","296431.67000000","2766080.11000000","2023-11-27 17:12:03.04","板橋區"
"地區醫院","泓安醫院","新北市淡水區義山里12鄰下圭柔山91巷2號","02-26232681","","294123.78000000","2789222.97000000","2023-11-27 17:12:03.04","淡水區"
"地區醫院","長青醫院","新北市淡水區樹興里3鄰糞箕湖1-5號","02-86260561","","298661.30000000","2784833.99000000","2023-11-27 17:12:03.04","淡水區"
"地區醫院","恩樺醫院","新北市土城區貨饒里2鄰中央路一段7-18號","02-22639955","","295314.28000000","2764875.85000000","2023-11-27 17:12:03.04","土城區"
"地區醫院","益民醫院","新北市新莊區恆安里3鄰中港路127號","02-89911050","","295933.89000000","2770297.89000000","2023-11-27 17:12:03.04","新莊區"
"地區醫院","祐民醫院","新北市三重區光榮里1鄰重新路二段2號","02-29783456","","300420.95000000","2772820.85000000","2023-11-27 17:12:03.04","三重區"
"地區醫院","財團法人台灣省私立台北仁濟院附設新莊仁濟醫院","新北市新莊區瓊林里9鄰瓊林路100巷27號","02-22015222","","294702.35000000","2768836.82000000","2023-11-27 17:12:03.04","新莊區"
"地區醫院","國立臺灣大學醫學院附設醫院金山分院","新北市金山區五湖里11鄰玉爐路7號","02-24989898","","313339.75000000","2790250.78000000","2023-11-27 17:12:03.04","金山區"
"地區醫院","清福醫院","新北市三峽區介壽里3鄰介壽路一段286號2樓","02-26739288","","288397.99000000","2757970.90000000","2023-11-27 17:12:03.04","三峽區"
"地區醫院","祥顥醫院","新北市中和區景平里30鄰景平路412號","02-29468795","","301304.57000000","2765136.92000000","2023-11-27 17:12:03.04","中和區"
"地區醫院","新仁醫療社團法人新仁醫院","新北市新莊區海山里19鄰中正路395號","02-22017212","","294959.57000000","2769666.95000000","2023-11-27 17:12:03.04","新莊區"
"地區醫院","新北仁康醫院","新北市新店區德安里24鄰安康路二段323號","02-22152345","","300471.41000000","2760952.20000000","2023-11-27 17:12:03.04","新店區"
"地區醫院","新北市立土城醫院","新北市土城區埤塘里3鄰金城路二段6號","02-22630588","","295271.71000000","2763220.05000000","2023-11-27 17:12:03.04","土城區"
"地區醫院","新北市私立台安醫院","新北市三芝區興華里7鄰楓子林42-5號","02-26371600","","300012.16000000","2788964.93000000","2023-11-27 17:12:03.04","三芝區"
"地區醫院","新泰綜合醫院","新北市新莊區西盛里3鄰新樹路176號","02-29962121","","293830.16000000","2768231.87000000","2023-11-27 17:12:03.04","新莊區"
"地區醫院","新莊英仁醫院","新北市新莊區文德里9鄰大觀街46-2號","02-29916363","","295801.44000000","2769820.55000000","2023-11-27 17:12:03.04","新莊區"
"地區醫院","瑞芳礦工醫院","新北市瑞芳區龍川里2鄰一坑路71-2號","02-24974101","","330900.33000000","2778044.71000000","2023-11-27 17:12:03.04","瑞芳區"
"地區醫院","瑞祥婦幼醫院","新北市永和區光明里12鄰福和路278號","02-29235133","","302267.86000000","2766718.22000000","2023-11-27 17:12:03.04","永和區"
