編號,食品業者登錄字號,店名,總部評核,電話,地址,餐飲業別,評核等級,longitude,latitude
145,F-172672245-00001-9,Q Burger_淡水學府店,是,02-86315056,新北市淡水區學府路85號,早餐店,優,121.4459779,25.17019257
146,F-172672527-00001-2,Q Burger_三重仁愛店,是,02-29860322,新北市三重區溪尾街269號,早餐店,優,121.4850824,25.08238337
147,F-172683165-00000-1,Q Burger_新莊成德店,是,02-22080936,新北市新莊區成德街8號,早餐店,優,121.4201699,25.01943928
148,F-172684381-00001-3,Q Burger_三重福德南店,是,02-29755550,新北市三重區福德南路40號 ,早餐店,優,121.5004525,25.06255347
149,F-172687887-00001-7,Q Burger_汐止福德店,是,02-26957300,新北市汐止區福德二路140號,早餐店,優,121.6281258,25.06524927
150,F-172687943-00001-0,Q Burger_永和永元店,是,02-29265857,新北市永和區永元路124號,早餐店,優,121.520397,25.00276028
151,F-172692360-00001-9,Q Burger_三重三民店,是,02-29869285,新北市三重區三民街298號,早餐店,優,121.4753685,25.06885577
152,F-172856948-00001-3,Q Burger_中和員山店,是,02-82286062, 新北市中和區員山路395號 ,早餐店,優,121.4785056,25.00296668
153,F-172859086-00001-9,Q Burger_永和永亨店,是,02-29202227,新北市永和區永亨路107號 ,早餐店,優,121.5208403,25.00477487
154,F-172868894-00001-6,Q Burger_新莊民本店,是,02-22081229,新北市新莊區民本街22號 ,早餐店,優,121.4256421,25.01968108
155,F-172868923-00001-9,Q Burger_新莊中港店,是,02-22791117,新北市新莊區中港路419號,早餐店,優,121.4495817,25.04757578
156,F-172874404-00001-0,Q Burger_三重集成店,是,02-29776785,新北市三重區集成路42號,早餐店,優,121.486372,25.05273408
157,F-182092652-00001-8,Q Burger_板橋中山店,是,02-29552958,新北市板橋區東丘里中山路２段９０巷１２號,早餐店,優,121.47284,25.01591817
158,F-182094650-00001-8,Q Burger_中和興南店,是,02-86683877,新北市中和區興南路二段69號,早餐店,優,121.5043271,24.98489697
159,F-182094666-00001-5,Q Burger_板橋民治店,是,02-22502901,新北市板橋區民治街63號1樓,早餐店,優,121.4771565,25.03310468
160,F-182096833-00001-3,Q Burger_板橋重慶店,是,02-89523866,新北市板橋區重慶路108號,早餐店,優,121.4593759,25.00544527
161,F-182106115-00001-8,Q Burger_三重中正店,是,02-29856668,新北市三重區中正北路180號,早餐店,優,121.4806088,25.06682937
162,F-182109957-00001-5,Q Burger_新莊輔大店,是,02-29015291,新北市新莊區福營路93號,早餐店,優,121.4319741,25.03222897
163,F-182114109-00001-0,Q Burger_中和泰和店,是,02-22466060,新北市中和區泰和街22號,早餐店,優,121.4970118,25.00067347
164,F-182121170-00001-6,Q Burger_樹林育英店,是,02-26851719,新北市樹林區育英街146號,早餐店,優,121.4166252,24.98952877
165,F-182123389-00001-0,Q Burger_蘆洲民族店,是,02-22888383,新北市蘆洲區民族路357號,早餐店,優,121.4693056,25.09167218
166,F-182123402-00001-6,Q Burger_中和廣福店,是,02-82458286,新北市中和區廣福路82號,早餐店,優,121.5002671,25.00154337
167,F-182124649-00001-0,Q Burger_淡水新民店,是,02-26262060,新北市淡水區新民街65號,早餐店,優,121.4358331,25.17642828
168,F-182125942-00001-7,Q Burger_板橋吳鳳店,是,02-22572358,新北市板橋區吳鳳路68號,早餐店,優,121.4648888,25.03085367
169,F-182126479-00001-3,Q Burger_中和景新店,是,02-86689008,新北市中和區景平路111巷61弄21號,早餐店,優,121.5123971,24.98993437
170,F-182135435-00001-5,Q Burger_中和南勢角店,是,02-29470520,新北市中和區南山路174-2號 ,早餐店,優,121.5023221,24.99122567
171,F-182135955-00001-2,Q Burger_中和民享店,是,02-82282005,新北市中和區民享街86巷3號1樓,早餐店,優,121.4717659,25.00079818
172,F-182140681-00001-4,Q Burger_新店中正店,是,02-86673625,新北市新店區中正路546號1樓,早餐店,優,121.531128,24.98649138
173,F-182141577-00001-9,Q Burger_中和建一店,是,02-82282132,新北市中和區建一路157號1樓 ,早餐店,優,121.4857453,24.99926187
174,F-182143998-00001-8,Q Burger_新莊新豐店,是,02-22010220,新北市新莊區新豐街25號1樓,早餐店,優,121.4455579,25.03409208
175,F-182145969-00001-8,Q Burger_板橋長安店,是,02-29590700,新北市板橋區長安街210之1號,早餐店,優,121.4719818,25.01202318
176,F-182146783-00001-3,Q Burger_林口中山店,是,02-26026033,新北市林口區中山路3號1樓,早餐店,優,121.3939594,25.07793527
177,F-182147761-00001-0,Q Burger_泰山全興店,是,02-22970930,新北市泰山區全興路105號,早餐店,優,121.4311258,25.05696017
178,F-182151602-00001-9,Q Burger_蘆洲三民店,是,02-28480213,新北市蘆洲區民族路429號,早餐店,優,121.4654283,25.08908788
179,F-182152089-00000-8,Q Burger_蘆洲鷺江店,是,02-22880500,新北市蘆洲區鷺江街95號,早餐店,優,121.4742486,25.08381047
180,F-182152200-00001-4,Q Burger_蘆洲長興店,是,02-22882835,新北市蘆洲區長興路265號,早餐店,優,121.4576389,25.08800608
181,F-182152623-00001-3,Q Burger_蘆洲中原店,是,02-22831717,新北市蘆洲區中原路24號,早餐店,優,121.4576379,25.08294037
182,F-182153117-00001-2,Q Burger_板橋金園店,是,02-26818787,新北市板橋區金門街171號,早餐店,優,121.430108,24.99027177
183,F-182297402-00001-8,Q Burger_樹林太順店,是,02-86860151,新北市樹林區太順街47號,早餐店,優,121.4154423,24.97923847
184,F-182305748-00001-1,Q Burger_新莊中榮店,是,02-29918006,新北市新莊區中榮街58號1樓,早餐店,優,121.4464131,25.05288328
185,F-182306850-00001-6,Q Burger_蘆洲永平店,是,02-82828616,蘆洲區永平街32巷15號一樓,早餐店,優,121.4563691,25.09150918
186,F-182312136-00001-0,Q Burger_汐止連興店,是,02-26919516,新北市汐止區連興街73號1樓,早餐店,優,121.6515349,25.06285088
187,F-182316055-00001-4,Q Burger_中和自立店,是,02-29488588,新北市中和區自立路76號一樓,早餐店,優,121.5215155,24.99121407
188,F-182316885-00001-5,Q Burger_板橋懷德店,是,02-22563030,新北市板橋區懷德街160號,早餐店,優,121.4762426,25.03065157
189,F-182363556-00001-2,Q Burger_永和信義店,是,02-29214352,新北市永和區信義路93號1樓,早餐店,優,121.5097094,25.01391328
190,F-183161451-00001-3,Q Burger_永和永貞店,是,02-29262971,新北市永和區永貞路355巷2號,早餐店,優,121.5063271,25.00757698
191,F-183176671-00001-3,Q Burger_新店玫瑰店,是,02-22126673,新北市新店區安康路三段30號一樓,早餐店,優,121.4905244,24.95324608
192,F-183201952-00001-4,Q Burger_永和永平店,是,02-29295009,新北市永和區永平路250號 ,早餐店,優,121.5060755,25.01115477
193,F-183258384-00001-5,Q Burger_新莊頭前店,是,02-85213381,新北市新莊區頭前里化成路319號,早餐店,優,121.4632196,25.05578267
194,F-183367123-00001-7,Q Burger_板橋國光店,是,02-29684685,新北市板橋區國光路183號,早餐店,優,121.4584044,25.01853398
195,F-183368973-00001-1,Q Burger_三重頂崁店,是,02-29843557,新北市三重區頂崁街188號,早餐店,優,121.474844,25.06637277
196,F-183368988-00001-7,Q Burger_中和板南店,是,02-22466351,新北市中和區連城路219巷1號,早餐店,優,121.4917864,24.99726358
197,F-183379227-00001-5,Q Burger_中和環球店,是,02-82215555,新北市中和區民享街6號 ,早餐店,優,121.4713603,25.00432028
198,F-183642037-00001-7,Q Burger_蘆洲中山店,是,02-22885811,新北市蘆洲區中山二路179號1樓,早餐店,優,121.4685386,25.08094337
199,F-185134331-00001-2,Q Burger_汐止樟樹店,是,02-86916631,新北市汐止區樟樹一路130號,早餐店,優,121.6396381,25.06456197
200,F-185135161-00001-4,Q Burger_樹林日新店,是,02-26852697,新北市樹林區日新街67號,早餐店,優,121.4196291,24.99100788
201,F-185136627-00001-2,Q Burger_新莊建安店,是,02-22012300,新北市新莊區建安街45號1樓,早餐店,優,121.4262721,25.02544738
202,F-185147455-00001-3,Q Burger_新莊立信店,是,02-22777909,新北市新莊區立信三街12巷12號 1樓,早餐店,優,121.4416211,25.05102897
203,F-185148335-00001-1,Q Burger_板橋文聖店,是,02-22500123,新北市板橋區文聖街142號,早餐店,優,121.475877,25.02789308
204,F-185148659-00001-0,Q Burger_中和福美店,是,02-22490131,新北市中和區福善里福美路313號,早餐店,優,121.4942137,25.00467257
205,F-185148980-00001-7,Q Burger_三峽大同店,是,02-26740031,新北市三峽區介壽里大同路1-4號1樓,早餐店,優,121.3752341,24.92901677
206,F-185152908-00001-2,Q Burger_土城延和店,是,02-22631515,新北市土城區延和路115號1樓,早餐店,優,121.465348,24.99037947
207,F-185154292-00001-0,Q Burger_土城永豐店,是,02-22707050,新北市土城區永豐路135巷10號1樓,早餐店,優,121.4646901,24.98335418
208,F-185158522-00001-0,Q Burger_三重重陽店,是,02-89881667,新北市三重區重陽路43巷31號1樓,早餐店,優,121.4854634,25.05812017
209,F-185160463-00001-7,Q Burger_土城廣興店,是,02-89661116,新北市土城區廣興街33號1樓,早餐店,優,121.4527288,24.99148817
210,F-185163237-00001-9,Q Burger_樹林三福店,是,02-26880015,新北市樹林區三福街144號(驗收),早餐店,優,121.4029479,25.01622168
211,F-185164720-00001-7,Q Burger_中和宜安店,是,02-29470125,新北市中和區宜安路25號,早餐店,優,121.5102621,24.99591487
212,F-185165782-00000-5,Q Burger_三重光復店,是,02-29990935,新北市三重區光復路一段68巷22號,早餐店,優,121.4684773,25.04903268
213,F-185173679-00001-0,Q Burger_板橋海山店,是,02-29546666,新北市板橋區漢生東路193巷7號1樓,早餐店,優,121.4676997,25.01193138
214,F-185178180-00001-2,Q Burger_永和得和店,是,02-86681921,新北市永和區得和路172號1樓,早餐店,優,121.5170893,25.00005658
215,F-185178858-00001-4,Q Burger_三重忠孝店,是,02-29846788,新北市三重區忠孝路二段46號,早餐店,優,121.4826378,25.07041408
216,F-185178962-00001-0,Q Burger_中和華順店,是,02-29620685,新北市中和區華順街120號1樓,早餐店,優,121.4625377,24.99657128
217,F-185328414-00001-9,Q Burger_三峽文化店,是,02-26738182,新北市三峽區文化路266之13號1樓,早餐店,優,121.3640721,24.93586597
218,F-185330072-00001-2,Q Burger_五股工商店,是,02-22941002,新北市五股區工商路193號1樓,早餐店,優,121.4310763,25.08707038
219,F-185338980-00000-7,Q Burger_蘆洲成功店,是,02-22880695,新北市蘆洲區長安街268號,早餐店,優,121.4549148,25.08673447
220,F-185339279-00001-0,Q Burger_新店安康店,是,02-86663040,新北市新店區安康路二段107巷1號,早餐店,優,121.510175,24.96220217
221,F-185339411-00001-8,Q Burger_新莊國小店,是,02-22771516,新北市新莊區中港路50號,早餐店,優,121.452986,25.03839098
